HUMAN	MOUSE
MRPS18C	Mrps18c
MRPS21	Mrps21
MRPS22	Mrps22
MRPS23	Mrps23
MRPS24	Mrps24
MRPS25	Mrps25
MRPS26	Mrps26
MRPS27	Mrps27
MRPS28	Mrps28
MRPS2	Mrps2
MRPS30	Mrps30
MRPS31	Mrps31
MRPS33	Mrps33
MRPS34	Mrps34
MRPS35	Mrps35
MRPS36	Mrps36
MRPS5	Mrps5
MRPS6	Mrps6
MRPS7	Mrps7
MRPS9	Mrps9
MRRF	Mrrf
MRS2L	Mrs2l
MRS2	Mrs2
MRVI1	Mrvi1
MS4A10	Ms4a10
MS4A12	Ms4a12
MS4A13	Ms4a13
MS4A14	Ms4a14
MS4A15	Ms4a15
MS4A1	Ms4a1
MS4A2	Ms4a2
MS4A3	Ms4a3
MS4A4A	MMT00035477
MS4A5	Ms4a5
MS4A6A	Ms4a6b
MS4A7	Ms4a7
MS4A8B	Ms4a8a
MSANTD1	A930005I04Rik
MSANTD2	BC024479
MSANTD3	5730528L13Rik
MSANTD4	8430410K20Rik
MSC	Msc
MSGN1	Msgn1
MSH2	Msh2
MSH3	Msh3
MSH4	Msh4
MSH5	Msh5
MSH6	Msh6
MSI1	Msi1
MSI2	Msi2
MSL2L1	Msl2l1
MSL2	Msl2
MSL3L1	Msl31
MSL3	Msl3
MSLN	Msln
MSMB	Msmb
MSMO1	Sc4mol
MSMP	Msmp
MSN	Msn
MSR1	Msr1
MSRA	Msra
MSRB1	Sepx1
MSRB2	Msrb2
MSRB3	Msrb3
MSS51	Zmynd17
MST1	Mst1
MST1R	Mst1r
MST4	2610018G03Rik
MSTN	Mstn
MSTO1	Msto1
MSX1	Msx1
MSX2	Msx2
MT1A	Mt1
MT2A	Mt2
MT3	Mt3
MT4	Mt4
MTA1	Mta1
MTA2	Mta2
MTA3	Mta3
MTAC2D1	Mtac2d1
MTAP	Mtap
MTBP	Mtbp
MTCH1	Mtch1
MTCH2	Mtch2
MTCP1	Mtcp1
MTDH	Mtdh
MTERFD1	Mterfd1
MTERFD2	Mterfd2
MTERFD3	Mterfd3
MTERF	Mterf
MTF1	Mtf1
MTF2	Mtf2
MTFMT	Mtfmt
MTFP1	Mtfp1
MTFR1	Mtfr1
MTG1	Mtg1
MTHFD1L	Mthfd1l
MTHFD1	Mthfd1
MTHFD2L	1110019K23Rik
MTHFD2	Mthfd2
MTHFR	Mthfr
MTHFSD	Mthfsd
MTHFS	Mthfs
MTIF2	Mtif2
MTIF3	Mtif3
MTL5	Mtl5
MTM1	Mtm1
MTMR10	Mtmr10
MTMR11	Mtmr11
MTMR12	Mtmr12
MTMR14	Mtmr14
MTMR1	Mtmr1
MTMR2	Mtmr2
MTMR3	Mtmr3
MTMR4	Mtmr4
MTMR6	Mtmr6
MTMR7	Mtmr7
MTMR9	Mtmr9
MTNR1A	Mtnr1a
MTNR1B	Mtnr1b
MTO1	Mto1
MTOR	Mtor
MTPAP	Mtpap
MTPN	Mtpn
MTRF1L	Mtrf1l
MTRF1	Mtrf1
MTR	Mtr
MTRR	Mtrr
MTSS1L	Mtss1l
MTSS1	Mtss1
MTTP	Mttp
MTUS1	Mtus1
MTUS2	Mtus2
MTX1	Mtx1
MTX2	Mtx2
MTX3	Mtx3
MUC13	Muc13
MUC15	Muc15
MUC17	Muc3
MUC19	Muc19
MUC1	Muc1
MUC20	Muc20
MUC21	Gm9573
MUC2	Muc2
MUC3A	Gm7534
MUC4	Muc4
MUC5AC	Muc5ac
MUC5B	Muc5b
MUC6	Muc6
MUC7	MMT00015254
MUCDHL	Mucdhl
MUCL1	Mucl1
MUL1	Mul1
MULK	Mulk
MUM1L1	Mum1l1
MUM1	Mum1
MURC	Murc
MUS81	Mus81
MUSK	Musk
MUSTN1	Mustn1
MUTED	Muted
MUT	Mut
MUTYH	Mutyh
MVD	Mvd
MVK	Mvk
MVP	Mvp
MX1	Mx2
MX2	Mx1
MXD1	Mxd1
MXD3	Mxd3
MXD4	Mxd4
MXI1	Mxi1
MXRA7	1810057P16Rik
MXRA8	Mxra8
MYADML2	Myadml2
MYADM	Myadm
MYBBP1A	Mybbp1a
MYBL1	Mybl1
MYBL2	Mybl2
MYB	Myb
MYBPC1	8030451F13Rik
MYBPC2	Mybpc2
MYBPC3	Mybpc3
MYBPHL	Mybphl
MYBPH	Mybph
MYCBP2	Mycbp2
MYCBPAP	Mycbpap
MYCBP	Mycbp
MYCL1	Mycl1
MYC	Myc
MYCN	Mycn
MYCT1	Myct1
MYD88	Myd88
MYEF2	Myef2
MYEOV2	Myeov2
MYF5	Myf5
MYF6	Myf6
MYH10	Myh10
MYH11	Myh11
MYH13	Myh13
MYH14	Myh14
MYH15	MMT00000076
MYH1	Myh1
MYH2	Myh2
MYH3	Myh3
MYH4	Myh4
MYH6	Myh6
MYH7B	Myh7b
MYH7	Myh7
MYH8	Myh8
MYH9	Myh9
MYL10	Myl10
MYL12A	Myl12a
MYL12B	Myl12b
MYL1	Myl1
MYL2	Myl2
MYL3	Myl3
MYL4	Myl4
MYL6B	Myl6b
MYL6	Myl6
MYL7	Myl7
MYL9	Myl9
MYLIP	Mylip
MYLK2	Mylk2
MYLK3	Mylk3
MYLK4	Mylk4
MYLK	Mylk
MYLPF	Mylpf
MYNN	Mynn
MYO10	Myo10
MYO15A	Myo15
MYO15B	Myo15b
MYO16	Myo16
MYO18A	Myo18a
MYO18B	Myo18b
MYO19	Myo19
MYO1A	Myo1a
MYO1B	Myo1b
MYO1C	Myo1c
MYO1D	Myo1d
MYO1E	Myo1e
MYO1F	Myo1f
MYO1G	Myo1g
MYO1H	Myo1h
MYO3A	Myo3a
MYO3B	Myo3b
MYO5A	Myo5a
MYO5B	Myo5b
MYO5C	Myo5c
MYO6	Myo6
MYO7A	Myo7a
MYO7B	Myo7b
MYO9A	Myo9a
MYO9B	Myo9b
MYOCD	Myocd
MYOC	Myoc
MYOD1	Myod1
MYOF	Myof
MYOG	Myog
MYOM1	Myom1
MYOM2	Myom2
MYOM3	Myom3
MYOT	Myot
MYOZ1	Myoz1
MYOZ2	Myoz2
MYOZ3	Myoz3
MYPN	Mypn
MYPOP	Mypop
MYRIP	Myrip
MYSM1	Mysm1
MYST1	Myst1
MYST2	Myst2
MYST3	Myst3
MYST4	Myst4
MYT1L	Myt1l
MYT1	Myt1
MZB1	2010001M09Rik
MZF1	Mzf1
MZT1	Mzt1
MZT2B	Mzt2
N4BP1	N4bp1
N4BP2L1	N4bp2l1
N4BP2L2	N4bp2l2
N4BP2	N4bp2
N4BP3	N4bp3
N6AMT1	N6amt1
N6AMT2	N6amt2
NAA10	Naa10
NAA11	Naa11
NAA15	Naa15
NAA16	Naa16
NAA20	Naa20
NAA25	Naa25
NAA30	Naa30
NAA35	Naa35
NAA38	Naa38
NAA40	Naa40
NAA50	Naa50
NAA60	Nat15
NAAA	Naaa
NAALAD2	Naalad2
NAALADL1	Naaladl1
NAALADL2	Naaladl2
NAB1	Nab1
NAB2	Nab2
NABP1	Obfc2a
NABP2	Obfc2b
NACAD	Nacad
NACA	Naca
NACC1	Nacc1
NACC2	Nacc2
NADKD1	Nadkd1
NADK	Nadk
NADSYN1	Nadsyn1
NAE1	Nae1
NAF1	Naf1
NAGA	Naga
NAGK	Nagk
NAGLU	Naglu
NAGPA	Nagpa
NAGS	Nags
NAIF1	Naif1
NAIP	Naip1
NALCN	Nalcn
NALP10	Nalp10
NALP12	MMT00032342
NALP14	Nalp14
NALP4	Nalp4c
NALP5	Nalp5
NALP6	Nalp6
NALP9	Nalp9b
NAMPT	Nampt
NANOG	Nanog
NANOS1	Nanos1
NANOS2	Nanos2
NANOS3	Nanos3
NANP	Nanp
NANS	Nans
NAP1L1	Nap1l1
NAP1L2	Nap1l2
NAP1L3	Nap1l3
NAP1L4	Nap1l4
NAP1L5	Nap1l5
NAPA	Napa
NAPB	Napb
NAPEPLD	Napepld
NAPG	Napg
NAPRT1	Naprt1
NAPSA	Napsa
NARFL	Narfl
NARF	Narf
NARG1L	Narg1l
NARG1	Narg1
NARG2	Narg2
NARS2	Nars2
NARS	Nars
NASP	Nasp
NAT10	Nat10
NAT11	Nat11
NAT12	Nat12
NAT13	MMS010171156
NAT14	Nat14
NAT1	Nat2
NAT2	Nat1
NAT6	Nat6
NAT8	EG434057
NAT8L	Nat8l
NAT8	Nat8
NAT9	Nat9
NAV1	Nav1
NAV2	Nav2
NAV3	Nav3
NBAS	Nbas
NBEAL1	Nbeal1
NBEAL2	Nbeal2
NBEA	Nbea
NBL1	Nbl1
NBN	Nbn
NBR1	Nbr1
NCALD	Ncald
NCAM1	Ncam1
NCAM2	Ncam2
NCAN	Ncan
NCAPD2	Ncapd2
NCAPD3	Ncapd3
NCAPG2	Ncapg2
NCAPG	Ncapg
NCAPH2	Ncaph2
NCAPH	Ncaph
NCBP1	AU014645
NCBP2	Ncbp2
NCCRP1	Nccrp1
NCDN	Ncdn
NCEH1	Nceh1
NCF1C	Ncf1
NCF2	Ncf2
NCF4	Ncf4
NCK1	Nck1
NCK2	Nck2
NCKAP1L	Nckap1l
NCKAP1	Nckap1
NCKAP5L	Nckap5l
NCKAP5	Nckap5
NCKIPSD	Nckipsd
NCL	Ncl
NCLN	Ncln
NCMAP	Ncmap
NCOA1	Ncoa1
NCOA2	Ncoa2
NCOA3	Ncoa3
NCOA4	EG627557
NCOA5	Ncoa5
NCOA6IP	Ncoa6ip
NCOA6	Ncoa6
NCOA7	Ncoa7
NCOR1	Ncor1
NCOR2	Ncor2
NCR1	Ncr1
NCR3	Ncr3-ps
NCS1	Ncs1
NCSTN	Ncstn
ND1	mt-Nd1
ND2	mt-Nd2
ND3	mt-Nd3
ND4L	mt-Nd4l
ND4	mt-Nd4
ND5	mt-Nd5
ND6	mt-Nd6
NDC80	Ndc80
NDE1	Nde1
NDEL1	Ndel1
NDFIP1	Ndfip1
NDFIP2	Ndfip2
NDNF	A930038C07Rik
NDNL2	Ndnl2
NDN	Ndn
NDOR1	Ndor1
NDP	Ndp
NDRG1	Ndrg1
NDRG2	Ndrg2
NDRG3	Ndrg3
NDRG4	Ndrg4
NDST1	Ndst1
NDST2	Ndst2
NDST3	Ndst3
NDST4	Ndst4
NDUFA10	Ndufa10
NDUFA11	Ndufa11
NDUFA12L	Ndufa12l
NDUFA12	Ndufa12
NDUFA13	Ndufa13
NDUFA1	Ndufa1
NDUFA2	Ndufa2
NDUFA3	Ndufa3
NDUFA4L2	Ndufa4l2
NDUFA4	Ndufa4
NDUFA5	Ndufa5
NDUFA6	Ndufa6
NDUFA7	Ndufa7
NDUFA8	Ndufa8
NDUFA9	Ndufa9
NDUFAB1	Ndufab1
NDUFAF1	Ndufaf1
NDUFAF2	Ndufaf2
NDUFAF3	Ndufaf3
NDUFAF4	Ndufaf4
NDUFAF5	2310003L22Rik
NDUFAF6	2310030N02Rik
NDUFB10	Ndufb10
NDUFB11	Ndufb11
NDUFB2	Ndufb2
NDUFB3	Ndufb3
NDUFB4	Ndufb4
NDUFB5	Ndufb5
NDUFB6	Ndufb6
NDUFB7	Ndufb7
NDUFB8	Ndufb8
NDUFB9	Ndufb9
NDUFC1	Ndufc1
NDUFC2	Ndufc2
NDUFS1	Ndufs1
NDUFS2	Ndufs2
NDUFS3	Ndufs3
NDUFS4	Ndufs4
NDUFS5	BC002163
NDUFS6	Ndufs6
NDUFS7	Ndufs7
NDUFS8	Ndufs8
NDUFV1	Ndufv1
NDUFV2	Ndufv2
NDUFV3	1500032D16Rik
NEAT1	Neat1
NEBL	Nebl
NEB	Neb
NECAB1	Necab1
NECAB2	Necab2
NECAB3	Necab3
NECAP1	Necap1
NECAP2	Necap2
NEDD1	Nedd1
NEDD4L	Nedd4l
NEDD4	Nedd4
NEDD8	Nedd8
NEDD9	Nedd9
NEF3	Nef3
NEFH	Nefh
NEFL	Nefl
NEFM	Nefm
NEGR1	Negr1
NEIL1	Neil1
NEIL2	Neil2
NEIL3	Neil3
NEK10	Nek10
NEK11	Nek11
NEK1	Nek1
NEK2	Nek2
NEK3	Nek3
NEK4	Nek4
NEK5	Nek5
NEK6	Nek6
NEK7	Nek7
NEK8	Nek8
NEK9	Nek9
NELF	Nelf
NELL1	Nell1
NELL2	Nell2
NEMF	Nemf
NENF	Nenf
NEO1	Neo1
NEPNP	Nepn
NES	Nes
NET1	Net1
NETO1	Neto1
NETO2	Neto2
NEU1	Neu1
NEU2	Neu2
NEU3	Neu3
NEU4	Neu4
NEURL1B	Neurl1b
NEURL2	Neurl2
NEURL3	Neurl3
NEURL4	Neurl4
NEURL	Neurl
NEUROD1	Neurod1
NEUROD2	Neurod2
NEUROD4	Neurod4
NEUROD6	Neurod6
NEUROG1	Neurog1
NEUROG2	Neurog2
NEUROG3	Neurog3
NEXN	Nexn
NF1	Nf1
NF2	Nf2
NFAM1	Nfam1
NFASC	Nfasc
NFAT5	Nfat5
NFATC1	Nfatc1
NFATC2IP	Nfatc2ip
NFATC2	Nfatc2
NFATC3	Nfatc3
NFATC4	Nfatc4
NFE2L1	Nfe2l1
NFE2L2	Nfe2l2
NFE2L3	Nfe2l3
NFE2	Nfe2
NFIA	Nfia
NFIB	Nfib
NFIC	Nfic
NFIL3	Nfil3
NFIX	Nfix
NFKB1	Nfkb1
NFKB2	Nfkb2
NFKBIA	Nfkbia
NFKBIB	Nfkbib
NFKBID	Nfkbid
NFKBIE	Nfkbie
NFKBIL1	Nfkbil1
NFKBIL2	Nfkbil2
NFKBIZ	Nfkbiz
NFRKB	Nfrkb
NFS1	Nfs1
NFU1	Nfu1
NFX1	Nfx1
NFXL1	Nfxl1
NFYA	Nfya
NFYB	Nfyb
NFYC	Nfyc
NGB	Ngb
NGDN	Ngdn
NGEF	Ngef
NGFB	Ngfb
NGF	Ngf
NGFRAP1	Ngfrap1
NGFR	Ngfr
NGLY1	Ngly1
NGRN	Ngrn
NHEJ1	Nhej1
NHLH1	Nhlh1
NHLH2	Nhlh2
NHLRC1	Nhlrc1
NHLRC2	Nhlrc2
NHLRC3	Nhlrc3
NHLRC4	Nhlrc4
NHP2L1	EG434401
NHP2	Nhp2
NHSL1	Nhsl1
NHSL2	Nhsl2
NHS	Nhs
NICN1	Nicn1
NID1	Nid1
NID2	Nid2
NIF3L1	Nif3l1
NIM1	E130304F04Rik
NINJ1	Ninj1
NINJ2	Ninj2
NINL	Ninl
NIN	Nin
NIP7	Nip7
NIPA1	Nipa1
NIPA2	Nipa2
NIPAL1	Nipal1
NIPAL2	Nipal2
NIPAL3	Nipal3
NIPAL4	Nipal4
NIPBL	Nipbl
NIPSNAP1	Nipsnap1
NIPSNAP3A	Nipsnap3a
NIPSNAP3B	Nipsnap3b
NISCH	Nisch
NIT1	Nit1
NIT2	Nit2
NKAIN1	Nkain1
NKAIN2	Nkain2
NKAIN3	Nkain3
NKAIN4	Nkain4
NKAPL	Nkapl
NKAP	Nkap
NKD1	Nkd1
NKD2	Nkd2
NKG7	Nkg7
NKIRAS1	Nkiras1
NKIRAS2	Nkiras2
NKPD1	Nkpd1
NKRF	Nkrf
NKTR	Nktr
NKX1-1	ENSMUST00000030994
NKX1-2	Nkx1-2
NKX2-1	Nkx2-1
NKX2-2	Nkx2-2
NKX2-3	Nkx2-3
NKX2-4	Nkx2-4
NKX2-5	Nkx2-5
NKX2-6	Nkx2-6
NKX2-8	Nkx2-9
NKX3-1	Nkx3-1
NKX3-2	Nkx3-2
NKX6-1	Nkx6-1
NKX6-2	Nkx6-2
NKX6-3	Nkx6-3
NLE1	Nle1
NLGN1	Nlgn1
NLGN2	Nlgn2
NLGN3	Nlgn3
NLK	Nlk
NLN	Nln
NLRC3	Nlrc3
NLRC4	Nlrc4
NLRC5	Nlrc5
NLRP10	Nlrp10
NLRP12	Nlrp12
NLRP14	Nlrp14
NLRP1	Nlrp1a
NLRP2	Nlrp2
NLRP3	Nlrp3
NLRP4	Nlrp4e
NLRP5	Nlrp5
NLRP6	Nlrp6
NLRP9	Nlrp9b
NLRX1	Nlrx1
NM_001001325	ENSMUST00000060328
NM_001003808	C030017K20Rik
NM_001004322	MMS010209881
NM_001004326	Slc22a20
NM_001004353	4933433C11Rik
NM_001004441	6430502M16Rik
NM_001005217	MMT00040439
NM_001005303	Sp9
NM_001005359	4921537P18Rik
NM_001005472	Rpsa
NM_001005478	ri|4933409I12|PX00020I07||1406
NM_001120	0610009O03Rik
NM_003683	Nnp1
NM_003715	AF096868
NM_003943	D5Ertd593e
NM_004261	AF288740
NM_004882	1700023B02Rik
NM_005499	Uble1b
NM_005500	Uble1a
NM_006009	Tuba1
NM_006025	Pp11r
NM_006082	Tuba2
NM_006102	AF009513
NM_006107	3300001P08Rik
NM_006302	Gcs1
NM_006303	MMT00063115
NM_006333	ri|1110036E10|R000017H18||2028
NM_006425	D11Ertd730e
NM_006455	1110036O03Rik
NM_006477	2210403B10Rik
NM_006628	Arpp19
NM_006662	D030022P06Rik
NM_006695	Rap2ip
NM_006812	4632413K17Rik
NM_006831	AI462438
NM_006857	2610209M04Rik
NM_007030	2900041A09Rik
NM_007076	D5Ertd40e
NM_007236	1500003O03Rik
NM_012096	2900057D21Rik
NM_012108	AI586015
NM_012235	Scap
NM_012267	1500019G21Rik
NM_012295	Cabin1
NM_012297	E430034L04Rik
NM_012385	Nupr1
NM_013270	NM_146227
NM_013292	Mylpf
NM_013293	Tra2a
NM_013332	2310016C08Rik
NM_013387	1110020P15Rik
NM_014015	Dexi
NM_014017	MMT00001648
NM_014053	9630055N22Rik
NM_014067	D930010J01Rik
NM_014149	9530020G05Rik
NM_014173	5430437P03Rik
NM_014181	1110067D22Rik
NM_014185	2400006H24Rik
NM_014187	NM_025486
NM_014390	AL033314
NM_014392	Nsg1
NM_014406	Gm443
NM_014444	D2Ertd435e
NM_014445	D3Ucla1
NM_014451	E130103I17Rik
NM_014469	1700012H05Rik
NM_014478	Crcp
NM_014485	Ptgds2
NM_014489	BC004794
NM_014576	1810073H04Rik
NM_014648	2310047C04Rik
NM_014664	BC004022
NM_014668	NM_015764
NM_014690	6330503C03Rik
NM_014711	6330503K22Rik
NM_014715	MMT00072326
NM_014719	3321401G04Rik
NM_014727	Wbp7
NM_014729	Tox
NM_014731	MMT00048102
NM_014769	MMT00024395
NM_014817	1200009O22Rik
NM_014839	D3Bwg0562e
NM_014859	AU040829
NM_014863	4631426J05Rik
NM_014890	4631422O05Rik
NM_015055	MMT00009617
NM_015089	Parc
NM_015134	AA536749
NM_015200	9030416H16Rik
NM_015251	BC060631
NM_015253	BC030477
NM_015328	4631427C17Rik
NM_015371	4930583C14Rik
NM_015393	9130213B05Rik
NM_015395	2210010N04Rik
NM_015430	E430002G05Rik
NM_015438	A930037G23Rik
NM_015456	A730008L03Rik
NM_015459	5730596K20Rik
NM_015535	2810022L02Rik
NM_015681	Eppb9
NM_015853	D19Ertd721e
NM_015892	4631426J05Rik
NM_015908	NM_031405
NM_015909	4933425L03Rik
NM_015910	AV249152
NM_015912	1700010C24Rik
NM_015934	Nol5
NM_015939	3300001M20Rik
NM_015964	2700055K07Rik
NM_015980	Nsg2
NM_016047	0610009D07Rik
NM_016052	2810430M08Rik
NM_016069	NM_025571
NM_016073	Hdgfrp3
NM_016125	0610013E23Rik
NM_016134	AF009513
NM_016140	2700055K07Rik
NM_016175	3010026O09Rik
NM_016290	Rxrip110
NM_016347	Cml5
NM_016368	NM_023627
NM_016391	D13Wsu177e
NM_016400	2310003F16Rik
NM_016402	Uble1a
NM_016403	0610040D20Rik
NM_016404	0610038D11Rik
NM_016424	3300001P08Rik
NM_016442	NM_030711
NM_016459	2010001M09Rik
NM_016479	MMT00020504
NM_016494	2500002L14Rik
NM_016498	1700020C11Rik
NM_016499	2810441K11Rik
NM_016522	MMT00078678
NM_016532	RP23-136K12.4
NM_016544	C330021A05Rik
NM_016550	2810452K22Rik
NM_016627	X83328
NM_016641	MMT00055022
NM_016653	B230120H23Rik
NM_016955	D5Ertd135e
NM_017518	1110020L19Rik
NM_017520	4930548G07Rik
NM_017523	Fbxo39
NM_017530	4930566A11Rik
NM_017631	BC013672
NM_017632	4921511I16Rik
NM_017669	Ercc6l
NM_017676	4930429M06Rik
NM_017694	2210010L05Rik
NM_017700	9130221D24Rik
NM_017702	Def8
NM_017720	AW049765
NM_017723	A830007P12Rik
NM_017727	1110039B18Rik
NM_017732	4933406E20Rik
NM_017749	D030051N19Rik
NM_017759	BC010584
NM_017804	5830457O10Rik
NM_017816	Lyar
NM_017841	0610038F07Rik
NM_017842	4930570C03Rik
NM_017884	2610028A01Rik
NM_017888	C730027J19Rik
NM_017910	A630024P14Rik
NM_017920	2010005J08Rik
NM_017931	AW124722
NM_017933	5033414K04Rik
NM_017967	2810428I15Rik
NM_017990	4930402E16Rik
NM_017991	4632411B12Rik
NM_018000	Mreg
NM_018011	9430010O03Rik
NM_018013	5330439J01Rik
NM_018035	2310004L02Rik
NM_018048	2010012C16Rik
NM_018059	D930005D10Rik
NM_018071	E130112L23Rik
NM_018111	MMT00041570
NM_018165	AK009120
NM_018170	BC021395
NM_018171	BC002232
NM_018177	MMT00062579
NM_018210	0710008K08Rik
NM_018215	0710005I19Rik
NM_018231	BC031853
NM_018242	1300013J15Rik
NM_018250	D14Ertd231e
NM_018271	BC051244
NM_018291	2310009E04Rik
NM_018313	AK009120
NM_018340	C530044N13Rik
NM_018348	BC025546
NM_018352	1810029B16Rik
NM_018370	1200002N14Rik
NM_018371	4732435N03Rik
NM_018381	A230050P20Rik
NM_018410	A730008H23Rik
NM_018417	AK015262
NM_018425	Pi4k2a
NM_018445	H47
NM_018459	3930401K13Rik
NM_018467	2010315L10Rik
NM_018471	2610312B22Rik
NM_018590	AK019496
NM_018607	2410091C18Rik
NM_018664	9130211I03Rik
NM_018687	EG624219
NM_018690	MMT00073557
NM_018723	MMS010234347
NM_019000	1810015C04Rik
NM_019005	BC020002
NM_019027	BC013481
NM_019049	4930467M19Rik
NM_019108	1500002O20Rik
NM_019116	D7Wsu128e
NM_020143	1810003N24Rik
NM_020172	3110056O03Rik
NM_020314	9030624J02Rik
NM_020368	Crlz1
NM_020467	BC004728
NM_020690	Ankhd1
NM_020701	5830446M03Rik
NM_020761	4932417H02Rik
NM_020836	BM948371
NM_020844	6430573F11Rik
NM_020927	AI427515
NM_020961	G430022H21Rik
NM_020962	Nope
NM_021204	2310057D15Rik
NM_021227	2310008M10Rik
NM_021228	AI480556
NM_021237	NM_019979
NM_021638	2600003E23Rik
NM_021831	9430057O19Rik
NM_021942	D030016E14Rik
NM_022070	2700008B19Rik
NM_022097	2010110P09Rik
NM_022126	2310007H09Rik
NM_022129	0610038K03Rik
NM_022448	Rgnef
NM_022717	6330548G22Rik
NM_022727	Htf9c
NM_022737	BC018242
NM_022742	4921511K06Rik
NM_022759	D230014K01Rik
NM_022785	4931407K02Rik
NM_023008	BC021438
NM_023012	1500011J06Rik
NM_023073	2410089E03Rik
NM_024084	0610006I08Rik
NM_024094	2600005O03Rik
NM_024096	2410015N17Rik
NM_024119	D11Lgp2e
NM_024308	BC022224
NM_024311	2600014M03Rik
NM_024321	3100004P22Rik
NM_024528	2610020O08Rik
NM_024536	D1Bwg1363e
NM_024592	Srd5a2l
NM_024604	D15Ertd682e
NM_024618	BC034204
NM_024619	BC032265
NM_024648	1110031I02Rik
NM_024666	2310007F21Rik
NM_024675	BC066140
NM_024687	BC050789
NM_024723	A930021H16Rik
NM_024730	EG632971
NM_024769	9030425E11Rik
NM_024788	A330021E22Rik
NM_024799	3010003L21Rik
NM_024811	5730453I16Rik
NM_024829	1100001H23Rik
NM_024841	2600010E01Rik
NM_024845	1200013P24Rik
NM_024854	BC027061
NM_024859	Pdzx
NM_024861	2310007B03Rik
NM_024867	C230086A09Rik
NM_024888	BC005764
NM_024902	2810451A06Rik
NM_024913	A430107O13Rik
NM_024922	Es31
NM_024941	2410002O22Rik
NM_024946	2310065K24Rik
NM_024969	A330102K23Rik
NM_025025	MMT00001542
NM_025029	2410018G20Rik
NM_025073	5730470L24Rik
NM_025087	C130090K23Rik
NM_025094	BC068157
NM_025149	BC018371
NM_025164	BC033915
NM_030578	BC028440
NM_030629	4933407C03Rik
NM_030636	2310005P05Rik
NM_030796	AW146242
NM_030941	2610020H08Rik
NM_031270	A730059M13Rik
NM_031297	1110061N23Rik
NM_031445	E230022H04Rik
NM_031466	1810044A24Rik
NM_031471	BC032204
NM_031904	1200004M23Rik
NM_031925	2010310D06Rik
NM_032038	2210013K02Rik
NM_032206	AK220210
NM_032237	4930444A02Rik
NM_032285	2410018C20Rik
NM_032321	1700019D03Rik
NM_032325	2010003J03Rik
NM_032331	1810009K13Rik
NM_032332	1500041N16Rik
NM_032350	3110082I17Rik
NM_032366	0610011F06Rik
NM_032435	BC021891
NM_032442	0610025P10Rik
NM_032487	AK007208
NM_032495	AK004798
NM_032498	Rhox4b
NM_032569	3930401K13Rik
NM_032574	2810410M20Rik
NM_032592	2610203E10Rik
NM_032597	Gm1276
NM_032599	BC048651
NM_032602	Gja10
NM_032623	4930583H14Rik
NM_032630	2810452K22Rik
NM_032631	Hdgfrp2
NM_032661	AA407659
NM_032683	BC051227
NM_032706	2810453I06Rik
NM_032717	A230097K15Rik
NM_032718	4931419K03Rik
NM_032721	AY078069
NM_032802	2010106G01Rik
NM_032842	2700094F01Rik
NM_032868	E130307M08Rik
NM_032873	2810457I06Rik
NM_032895	2210403K04Rik
NM_032947	2010002N04Rik
NM_033035	Tslp
NM_033082	1110005A23Rik
NM_033090	NM_015764
NM_033106	NM_178028
NM_033115	A630047E20Rik
NM_033309	C76566
NM_033386	ENSMUST00000040320
NM_033405	BC006779
NM_033408	BC010787
NM_033440	NM_007919
NM_033546	Mylc2b
NM_052818	B230342M21Rik
NM_052864	MMT00072211
NM_052880	1500004A08Rik
NM_053005	2700078K21Rik
NM_053045	C730025P13Rik
NM_080430	ri|A230103K18|PX00063B05||1079
NM_080656	D11Ertd497e
NM_080669	D11Ertd18e
NM_080674	1700030G11Rik
NM_080700	1110020L19Rik
NM_080743	NM_177774
NM_130469	MMT00033342
NM_130771	NM_175632
NM_133267	Gsh2
NM_133375	AV340375
NM_133483	D10Ertd610e
NM_133636	MMT00046866
NM_133646	B230120H23Rik
NM_138290	Gm440
NM_138294	MMT00074917
NM_138339	BC058420
NM_138342	BC038479
NM_138353	BC057552
NM_138364	AI931714
NM_138368	Gm962
NM_138386	XM_138060
NM_138397	AK008501
NM_138403	Mylc2pl
NM_138458	AI553587
NM_138476	1810034K20Rik
NM_138487	0610012G03Rik
NM_138492	C330008K14Rik
NM_138568	4933417E01Rik
NM_138570	1810073N04Rik
NM_138698	4930422G04Rik
NM_138789	2700059L22Rik
NM_138803	BC062650
NM_138804	D6Mm5e
NM_138932	1810073H04Rik
NM_138969	MMT00021244
NM_139072	Dner
NM_139172	4930572D21Rik
NM_139173	4933425K02Rik
NM_139174	4930403J07Rik
NM_139179	E330036I19Rik
NM_139243	Tenr
NM_144604	XM_203293
NM_144605	4933413B09Rik
NM_144610	BC030499
NM_144623	4931403E03Rik
NM_144648	4921528H16Rik
NM_144674	3300001K11Rik
NM_144688	BC050196
NM_144704	2810401C16Rik
NM_144709	4933435A13Rik
NM_144725	4930401A09Rik
NM_144726	3732413I11Rik
NM_144736	2410091C18Rik
NM_144962	1700081D17Rik
NM_144973	D030011O10Rik
NM_144978	6230424H07Rik
NM_144979	EG633285
NM_144983	AU042671
NM_144992	A230074B11Rik
NM_145018	4632434I11Rik
NM_145045	C330001K17Rik
NM_145053	4922504M18Rik
NM_145058	BC003324
NM_145168	4632417N05Rik
NM_145262	6230410P16Rik
NM_145282	AU042651
NM_145807	Gm484
NM_145891	MMS010234347
NM_148897	MMT00016980
NM_148903	NM_015764
NM_152269	2810006K23Rik
